route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE3,OCESN,"","Châteaubriant - Rennes",,2,,,
OCE652,OCESN,"","Béziers-Neussargues",,2,,,
OCE725913,OCESN,"","Paris Bercy - Auxerre - Morvan",,2,,,
OCE1650127,OCESN,"","Royan-Angoulême",,2,,,
OCE200739,OCESN,"","Strasbourg - Saverne - Sarrebourg",,2,,,
OCEFR=Line==C5996E08-5B80-4EA7-8BD5-268DCBA77858=,OCESN,"","BELLEGARDE - GENEVE",,2,,,
OCE200731,OCESN,"","Strasbourg - Sélestat Omnibus",,2,,,
OCE669662,OCESN,"","Nantes - Clisson TT",,0,,,
OCE22,OCESN,"","Nantes - Saint-Nazaire - Le Croisic",,2,,,
OCESN-87673202-87671008,OCESN,"","Dax - Tarbes",,3,,,
OCE1105890,OCESN,"","[AM05C] LAON - HIRSON / CAR",,3,,,
OCE1630113,OCESN,"","CAR-Rang du Fliers-Calais",,3,,,
OCE372846,OCESN,"","Autocars Argentan / Briouze / Bagnoles / Flers / Vire / Folligny / Granville",,3,,,
OCE629106,OCESN,"","Limoges -Périgueux - Agen",,3,,,
OCE324,OCESN,"","Luxembourg-Longwy-Nancy",,2,,,
OCESN-87478164-87478073,OCESN,"","Dinan - Dol",,3,,,
OCE468859,OCESN,"","Cars Réguliers St-Dié-Ste Marie aux Mines-Sélestat",,3,,,
OCE336,OCESN,"","MARSEILLE/LES ARCS",,2,,,
OCESN-82002501-87191007,OCESN,"","Howald - Thionville",,3,,,
OCESN-82001000-87191007,OCESN,"","Luxembourg - Thionville",,3,,,
OCE817850,OCESN,"","Tours - Chinon CAR",,3,,,
OCE5,OCESN,"","Rennes - Saint Malo",,2,,,
OCE325,OCESN,"","Saarbrücken-Forbach-Metz",,2,,,
OCE8622,OCESN,"","IV MARSEILLE / MONTPELLIER / NARBONNE / CERBERE Multi activités",,2,,,
OCE596931,OCESN,"","Cars Réguliers Haguenau-Obermodern-Saverne",,3,,,
OCE7,OCESN,"","Rennes - Saint Brieuc",,2,,,
OCE849853,OCESN,"","Ligne 32 Tram",,0,,,
OCEFR=Line==3DCDF960-BA93-4443-899F-283A2A13B7FE=,OCESN,"","ANNEMASSE - COPPET",,2,,,
OCE1209984,OCESN,"","PARIS-CHARTRES-NOGENT",,2,,,
OCESN-87193250-87193615,OCESN,"","Bening - Sarreguemines",,3,,,
OCE331,OCESN,"","Sarreguemines-Béning -Metz",,2,,,
OCE1425993,OCESN,"","Belfort - Besançon",,2,,,
OCE362,OCESN,"","Verdun-Conflans-Hagondange-Metz",,2,,,
OCE1650161,OCESN,"","Bordeaux-Agen",,2,,,
OCE1105901,OCESN,"","[AM21C] BEAUVAIS - ABANCOURT - LE TREPORT / CAR",,3,,,
OCE1269989,OCESN,"","Lille-Dunkerque (SA2020)",,2,,,
OCE359,OCESN,"","St-Dié-Nancy",,2,,,
OCESN-87192666-87192468,OCESN,"","Conflans-Jarny - Pagny-sur-Moselle",,3,,,
OCE629078,OCESN,"","Car SARREGUEMINES - BENING",,3,,,
OCE637144,OCESN,"","Car METZ - VERDUN",,3,,,
OCE355,OCESN,"","Reims-Bar Le Duc-Nancy",,2,,,
OCE1277991,OCESN,"","Lille-Valenciennes-Maubeuge-Jeumont (SA2020)",,2,,,
OCE360,OCESN,"","Reims-Bar Le Duc-Metz",,2,,,
OCE343,OCESN,"","IC MARSEILLE/SISTERON/BRIANCON + GAP/BRI",,2,,,
OCE357,OCESN,"","Dijon-Culmont-Neufchateau-Toul- Nancy",,2,,,
OCE669700,OCESN,"","Le Mans-Caen",,2,,,
OCE1469996,OCESN,"","Car CHARMES-MIRECOURT-VITTEL",,3,,,
OCE1469999,OCESN,"","Car CULMONT CHALINDREY-VITTEL",,3,,,
OCE356,OCESN,"","Pont-St-Vincent- Nancy",,2,,,
OCE6,OCESN,"","Rennes - Vannes",,2,,,
OCE1798150,OCESN,"","CAR-Lille-Comines",,3,,,
OCE637136,OCESN,"","Car SARREBOURG - SARREGUEMINES",,3,,,
OCE200737,OCESN,"","Haguenau- Strasbourg",,2,,,
OCE637137,OCESN,"","Car BITCHE - SARREGUEMINES",,3,,,
OCE873875,OCESN,"","CAR-LILLE-LENS (Via DON)",,3,,,
OCE616989,OCESN,"","Cars Réguliers Strasbourg - Barr - Sélestat",,3,,,
OCE637171,OCESN,"","Car LA BRESSE - REMIREMONT",,3,,,
OCE1650144,OCESN,"","Tulle-Brive-Perigueux-Bordeaux",,2,,,
OCE701657,OCESN,"","CGV-REIMS (Navettes)",,2,,,
OCE1734118,OCESN,"","Car VITTEL-CONTREX-NANCY",,3,,,
OCE70,OCESN,"","Chambéry - St Marcellin - Valence",,2,,,
OCE909879,OCESN,"","Is-sur-Tille - Dijon - Les-Laumes",,2,,,
OCESN-87727792-87118000,OCESN,"","Payns Abri Savières - Troyes",,3,,,
OCE1814120,OCESN,"","CAR Charmes Epinal",,3,,,
OCE1337993,OCESN,"","Besançon-Le Locle",,3,,,
OCE384859,OCESN,"","Clermont Fd / Durtol / Volvic (ligne 14)",,2,,,
OCE617093,OCESN,"","Strasbourg - Sélestat via Molsheim",,2,,,
OCE1638125,OCESN,"","Lauterbourg - Woerth",,2,,,
OCESN-87118158-87118000,OCESN,"","Romilly-sur-Seine - Troyes",,3,,,
OCE1105888,OCESN,"","[AM03] ST QUENTIN - BUSIGNY",,2,,,
OCE484866,OCESN,"","Cars Clermont / Le Puy",,3,,,
OCE232739,OCESN,"","Cars Lyon St Paul - Lozanne",,3,,,
OCE637148,OCESN,"","Car BUSSANG - REMIREMONT",,3,,,
OCE637138,OCESN,"","Car LUTZELBOURG - SARREBOURG",,3,,,
OCE637135,OCESN,"","Car METZ - LONGWY",,3,,,
OCE596,OCESN,"","Metzeral - Colmar",,2,,,
OCE1105887,OCESN,"","[AM01] AMIENS - ALBERT",,2,,,
OCE12,OCESN,"","Guingamp - Carhaix",,2,,,
OCE629107,OCESN,"","Bayonne - St Jean Pied de Port",,3,,,
OCE13,OCESN,"","Quimper - Brest",,2,,,
OCE46,OCESN,"","Geneve - Evian - Annecy - Valence - Avignon",,2,,,
OCE517,OCESN,"","Rouen Serqueux (Gisors) Amiens Lille (Le Tréport)",,2,,,
OCE1578107,OCESN,"","LAON-FISMES",,2,,,
OCE637179,OCESN,"","Car EPINAL-MIRECOURT-CONTREX-NEUFCHATEAU",,3,,,
OCE1209987,OCESN,"","Paris-Bourges-Montluçon",,2,,,
OCE637180,OCESN,"","Car BRUYERES - LUNEVILLE",,3,,,
OCE4618,OCESN,"","Toulouse / Auch",,2,,,
OCE1554104,OCESN,"","Abbeville-Amiens-Albert (SA2020)",,2,,,
OCE637145,OCESN,"","Car THIONVILLE - AUDUN LE ROMAN",,3,,,
OCE725918,OCESN,"","Seurre - Bourg-en-Bresse",,3,,,
OCE1209979,OCESN,"","PAZ-ORL",,2,,,
OCE240,OCESN,"","Vallorcine - St-Gervais",,2,,,
OCE629083,OCESN,"","Car LONGWY - LONGUYON",,3,,,
OCE1273991,OCESN,"","Lille-Hazebrouck-Calais (SA2020)",,2,,,
OCE164687,OCESN,"","Laval-Vitré-Rennes",,2,,,
OCE645685,OCESN,"","LE HAVRE ROLLEVILLE",,2,,,
OCE160696,OCESN,"","SAG - Rives - Grenoble Gières - Chambéry",,2,,,
OCE637174,OCESN,"","Car CREUTZWALD - THIONVILLE",,3,,,
OCE104652,OCESN,"","BRIVE - TULLE - USSEL - CLERMONT FD",,3,,,
OCE1209980,OCESN,"","ORL-TOURS",,2,,,
OCE701648,OCESN,"","PARIS-ST DIZIER-BAR LE DUC",,2,,,
OCE1650134,OCESN,"","Limoges-Uzerche-Brive",,2,,,
OCE1506035,OCESN,"","Paris-Vernon-Rouen-Le Havre",,2,,,
OCE637146,OCESN,"","Car ST DIE - EPINAL",,3,,,
OCE637164,OCESN,"","Car NANCY - NEUFCHATEAU",,3,,,
OCE216736,OCESN,"","CARPENTRAS / AVIGNON TGV",,2,,,
OCE1209986,OCESN,"","Voves - Chartres",,2,,,
OCE160703,OCESN,"","Cars Ambérieu - Bourg-en-Bresse",,3,,,
OCE621078,OCESN,"","Car THIONVILLE - APACH",,3,,,
OCE817860,OCESN,"","Droué-Courtalain-Chartres CAR",,3,,,
OCE645686,OCESN,"","FECAMP LE HAVRE",,2,,,
OCE56,OCESN,"","Lyon - Bourg-en-Bresse (via Villars)",,2,,,
OCE669677,OCESN,"","Nantes-Angers-Tours",,2,,,
OCE1650149,OCESN,"","Bordeaux-Sarlat",,2,,,
OCE1105900,OCESN,"","[AM21] BEAUVAIS - ABANCOURT - LE TREPORT",,2,,,
OCE1277992,OCESN,"","Douai-Valenciennes (SA 2020)",,2,,,
OCE701650,OCESN,"","CHARLEVILLE-GIVET",,2,,,
OCE1269984,OCESN,"","Lille-Douai-Arras (SA2020)",,2,,,
OCE637120,OCESN,"","Car LONGUYON - MONTMEDY",,3,,,
OCE645599,OCESN,"","Cars Travaux Colmar - Metzeral",,3,,,
OCE625077,OCESN,"","Car REMILLY - MORHANGE",,3,,,
OCE160689,OCESN,"","Macon - Valence - (Pierrelatte)",,2,,,
OCE1269978,OCESN,"","Dunkerque-Calais (SA2020)",,2,,,
OCE625078,OCESN,"","Car SARREBOURG-IGNEY AVRICOURT-LUNEVILLE",,3,,,
OCE1105891,OCESN,"","[AM04] AMIENS - TERGNIER - LAON - ST QUENTIN",,2,,,
OCE1109948,OCESN,"","[IC376] PARIS - ST QUENTIN",,2,,,
OCE1650139,OCESN,"","Limoges-Ussel",,2,,,
OCE160686,OCESN,"","Lyon - Marseille Multi Activités",,2,,,
OCE252844,OCESN,"","Cars Grenoble - Chambery",,3,,,
OCE637181,OCESN,"","Car SARREBOURG - MORHANGE",,3,,,
OCE1269991,OCESN,"","Rang du Fliers- Calais (SA2020)",,2,,,
OCE4630,OCESN,"","Toulouse / Agen / Bordeaux",,2,,,
OCE156693,OCESN,"","Cars Macon - Bourg-en-Bresse",,3,,,
OCE18,OCESN,"","Nantes - Quimper - Brest",,2,,,
OCE156707,OCESN,"","Firminy - St-Etienne - Lyon",,2,,,
OCEFR=Line==608A9B0B-6DF0-475B-82BA-E9792D7972A5=,OCESN,"","ANNECY - COPPET",,2,,,
OCE873870,OCESN,"","CAR-BUSIGNY-AULNOYE-JEUMONT(p)",,3,,,
OCE1273990,OCESN,"","Amiens-Boulogne-Calais (SA2020)",,2,,,
OCE354,OCESN,"","Lunéville-Nancy",,2,,,
OCE240747,OCESN,"","tram-train-SGS",,0,,,
OCE773848,OCESN,"","Luneville-Nancy-Bar Le Duc-Reims",,2,,,
OCE4619,OCESN,"","Toulouse / Latour de Carol",,2,,,
OCE616,OCESN,"","Rouen R.D. / Caen",,2,,,
OCE156699,OCESN,"","Cars Lyon - (LTP - AMB) - Chambéry",,3,,,
OCE327,OCESN,"","Treves-Metz",,2,,,
OCE645688,OCESN,"","ELBEUF YVETOT",,2,,,
OCE1650135,OCESN,"","Limoges-St Yrieix-Brive",,2,,,
OCE4623,OCESN,"","Brive / Rodez",,2,,,
OCE329,OCESN,"","Thionville-Longwy",,2,,,
OCE49,OCESN,"","Lyon - Bellegarde - Evian - St-Gervais",,2,,,
OCE1021888,OCESN,"","PARIS-DIJON - MULHOUSE - TER GRAND EST",,2,,,
OCE200738,OCESN,"","Niederbronn - Strasbourg",,2,,,
OCE200735,OCESN,"","Tram train Mulhouse - Thann St Jacques",,0,,,
OCE873866,OCESN,"","CAR-LILLE-DON-BETHUNE-ST POL",,3,,,
OCE1273993,OCESN,"","Lille-Don Bethune-St Pol-Lens (SA2020)",,2,,,
OCE1105896,OCESN,"","[AM16] AMIENS - COMPIEGNE",,2,,,
OCE317,OCESN,"","NICE/TENDE",,2,,,
OCE16635,OCESN,"","Lyon - (LTP) - Chambéry - Bourg-St-Maurice",,2,,,
OCE128635,OCESN,"","Rouen R.D. / Dieppe",,2,,,
OCE24,OCESN,"","Le Mans - Angers - Nantes",,2,,,
OCE326,OCESN,"","Sarrebourg-Rémilly-Metz",,2,,,
OCE1209983,OCESN,"","Droué - Chartres - Courtalain",,2,,,
OCE384857,OCESN,"","Nevers / Moulins / St Germain / Clermont (ligne 9 )",,2,,,
OCE587,OCESN,"","Le Mans / Alençon / Argentan  / Caen",,2,,,
OCE496863,OCESN,"","Cars Grenoble - Aubenas",,3,,,
OCE8,OCESN,"","Saint Brieuc - Brest",,2,,,
OCE725919,OCESN,"","Dijon - Bourg en Bresse (Multi-Activités)",,2,,,
OCE600929,OCESN,"","Cars Réguliers Haguenau - Niederbronn - Bitche",,3,,,
OCE873863,OCESN,"","CAR-LILLE-CALAIS",,3,,,
OCESN-87645002-87645507,OCESN,"","Aurillac - Neussargues",,3,,,
OCE1650136,OCESN,"","Limoges-Poitiers",,2,,,
OCE645687,OCESN,"","ROUEN LE HAVRE",,2,,,
OCE701656,OCESN,"","CGV-REIMS-DIJON",,2,,,
OCESN-87194357-87191007,OCESN,"","Audun-le-Roman - Thionville",,3,,,
OCEZW-87543165-87576215,OCESN,"","Salbris - Valençay",,2,,,
OCE1269988,OCESN,"","Arras-Hazebrouck-Dunkerque-Calais (SA2020)",,2,,,
OCE1209977,OCESN,"","Tours - Nevers",,2,,,
OCE701659,OCESN,"","CGV-SEDAN",,2,,,
OCE629116,OCESN,"","Pau - Oloron - Bedous",,3,,,
OCE464860,OCESN,"","Cars St Chély / St Flour / Arvant",,3,,,
OCE725905,OCESN,"","Paris Bercy - Dijon - Lyon (Multi-Activités)",,2,,,
OCESN-87755447-87751008,OCESN,"","Les Arcs-Draguignan - Marseille-St-Charles",,2,,,
OCE1341991,OCESN,"","Tours-Vendôme-Châteaudun-Paris Austerlitz",,2,,,
OCE817858,OCESN,"","Vierzon - Issoudun CAR",,3,,,
OCE64,OCESN,"","Ambérieu - Chambéry",,2,,,
OCE1650128,OCESN,"","Royan-Niort",,2,,,
OCE685637,OCESN,"","Les Arcs - Vintimille",,2,,,
OCE340,OCESN,"","MARSEILLE/AIX/PERTUIS",,2,,,
OCE237,OCESN,"","Lyon St-Paul - Sain Bel",,0,,,
OCE701652,OCESN,"","CHATEAU THIERRY-CHALONS-EPERNAY-REIMS",,2,,,
OCE535,OCESN,"","Mulhouse - Kruth (73500)",,2,,,
OCE817857,OCESN,"","Bourges - St Amand CAR",,3,,,
OCE140640,OCESN,"","Cars Lyon - Chamonix",,3,,,
OCE532896,OCESN,"","Cars Ambert / Le Puy",,3,,,
OCE160697,OCESN,"","Cars Lyon - Grenoble",,3,,,
OCE1337996,OCESN,"","Frasne- Vallorbe",,3,,,
OCE685635,OCESN,"","IV Marseille - Nice - Menton - Vintimille",,2,,,
OCE534,OCESN,"","Belfort -Mulhouse ville",,2,,,
OCE160687,OCESN,"","(Macon) - Lyon - Avignon Multi Activités",,2,,,
OCE655,OCESN,"","ROMANS/BRIANCON",,2,,,
OCE645617,OCESN,"","Grenoble - Gap - Briancon Multi Activités",,2,,,
OCE16630,OCESN,"","Mulhouse ville Freiburg",,2,,,
OCE705965,OCESN,"","MARSEILLE/AVIGNON/ORANGE via RGC, ARS et CNV",,2,,,
OCE1113946,OCESN,"","Belfort - Lyon",,2,,,
OCE1113943,OCESN,"","Belfort / Vesoul - Belfort / Epinal",,2,,,
OCE1650153,OCESN,"","St Mariens-Bordeaux",,2,,,
OCE1650152,OCESN,"","Bordeaux-Arcachon",,2,,,
OCESN-87713347-87713339,OCESN,"","Auxonne - Villers-les-Pots",,7,,,
OCESN-87765008-87318964,OCESN,"","Avignon-Centre - Avignon-TGV",,2,,,
OCESN-87318964-87751008,OCESN,"","Avignon-TGV - Marseille-St-Charles",,2,,,
OCE705966,OCESN,"","MARSEILLE/MIRAMAS via PDB",,2,,,
OCE1650138,OCESN,"","Limoges-Guéret-Felletin",,2,,,
OCE240762,OCESN,"","Nantes Châteaubriant TT",,0,,,
OCE1109946,OCESN,"","[IC356] PARIS - AMIENS",,2,,,
OCE1105897,OCESN,"","[AM19] PARIS - PERSAN - BEAUVAIS",,2,,,
OCESN-87755447-83045013,OCESN,"","Les Arcs-Draguignan - Ventimiglia-Stazione",,2,,,
OCE16634,OCESN,"","Lyon - (LTP - AMB) - Chambéry",,2,,,
OCE1506036,OCESN,"","Paris-Granville",,2,,,
OCE26,OCESN,"","Nantes-La Roche sur Yon - Les Sables",,2,,,
OCE4626,OCESN,"","Toulouse / Luchon / Pau",,2,,,
OCE616987,OCESN,"","Cars Réguliers Mulhouse - Kruth",,3,,,
OCE584,OCESN,"","(Lx) / Caen / St Lo / Coutances / Granville (Rennes)",,2,,,
OCE616988,OCESN,"","Cars Réguliers Ingwiller - Wimmenau - Lichtenberg",,3,,,
OCE726006,OCESN,"","Paris Lyon - Laroche (omnibus)",,2,,,
OCE1490030,OCESN,"","Trains spéciaux",,2,,,
OCE1650155,OCESN,"","Bordeaux-Hendaye",,2,,,
OCE725925,OCESN,"","Decize - Nevers - Cosne",,2,,,
OCE889858,OCESN,"","Cars travaux LPU - FNY - SE - LY",,3,,,
OCE200733,OCESN,"","Mulhouse - Bâle Omnibus",,2,,,
OCE1530067,OCESN,"","Langogne La Bastide Mende",,3,,,
OCE180694,OCESN,"","Bus 4726 4724 1240 4723 4727 1260 4728 Toulouse -LNN SSTL- Luchon Pau",,3,,,
OCE873864,OCESN,"","BETHUNE-LENS-LILLE (via libercourt)",,3,,,
OCE873859,OCESN,"","CAR-LILLE-DUNKERQUE",,3,,,
OCE873867,OCESN,"","CAR-LILLE-VALENCIENNES-AULNOYE-JEUMONT-VALENCIENNES-CAMBRAI",,3,,,
OCE1506037,OCESN,"","Paris-Caen-Cherbourg/Trouville",,2,,,
OCE873853,OCESN,"","CAR-ARRAS-DOUAI-LILLE",,3,,,
OCE1105898,OCESN,"","[AM20] CREIL - BEAUVAIS",,2,,,
OCESN-87317263-87271007,OCESN,"","Calais Ville - Paris Gare du Nord",,2,,,
OCE873854,OCESN,"","CAR-ROUEN-AMIENS-DOUAI-LILLE (Multi)",,3,,,
OCE701666,OCESN,"","BUS TER CHALONS-LANGRES",,3,,,
OCE424860,OCESN,"","Cars St Gervais / St Eloy / Montluçon",,3,,,
OCE873860,OCESN,"","CAR-DUNKERQUE-CALAIS",,3,,,
OCE180698,OCESN,"","Bus 4712 Toulouse Mazamet",,3,,,
OCE873852,OCESN,"","CAR-LILLE-TOURCOING-MOUSCRON",,3,,,
OCE873856,OCESN,"","CAR-LILLE-COMINES",,3,,,
OCE4621,OCESN,"","Toulouse / Rodez",,2,,,
OCE873862,OCESN,"","CAR-AMIENS-BOULOGNE-CALAIS (Multi)",,3,,,
OCE11,OCESN,"","Guingamp - Paimpol",,2,,,
OCE873857,OCESN,"","CAR-ARRAS-HAZEBROUCK-DUNKERQUE",,3,,,
OCE1273992,OCESN,"","Lens-Douai-Libercourt-Lille (SA2020)",,2,,,
OCESN-87281006-87286005,OCESN,"","Dunkerque - Lille Flandres",,3,,,
OCESN-87286302-87286005,OCESN,"","Hazebrouck - Lille Flandres",,3,,,
OCE1269974,OCESN,"","Lille-Ascq-Tournai-Orchies (SA 2020)",,2,,,
OCE420859,OCESN,"","Cars Clermont Fd / Ussel / Mauriac",,3,,,
OCE829858,OCESN,"","Cars Reguliers L 11  (Nantes - St Gilles Croix de Vie)",,3,,,
OCE1790121,OCESN,"","Ussel-Brive",,3,,,
OCE1630115,OCESN,"","CAR-Amiens-Boulogne-Calais",,3,,,
OCE1277990,OCESN,"","Lille-Valenciennes-Aulnoye-Hirson-Charleville (SA 2020)",,2,,,
OCE200741,OCESN,"","Strasbourg - Nancy",,2,,,
OCE1269972,OCESN,"","Lille-Tourcoing-Mouscron-Courtrai (SA2020)",,2,,,
OCE384853,OCESN,"","Clermont Fd / Aurillac (ligne 2)",,2,,,
OCE1269979,OCESN,"","Arras-St Pol-Etaples (SA2020)",,2,,,
OCE1445992,OCESN,"","Jeumont-Aulnoye-Busigny-St Quentin-Tergnier (SA2020)",,2,,,
OCE1586112,OCESN,"","Maubeuge-Charleroi-Namur (SA2020)",,2,,,
OCE619,OCESN,"","Strasbourg - Molsheim",,2,,,
OCE725915,OCESN,"","Auxerre - Clamecy - Corbigny",,3,,,
OCE817861,OCESN,"","Dourdan - Chateaudun CAR",,3,,,
OCE125,OCESN,"","Orleans-Vierzon-Chateauroux- Argenton-Limoges",,2,,,
OCEZW-87576025-87543165,OCESN,"","Romorantin-Blanc-Argent - Salbris",,2,,,
OCE1650162,OCESN,"","Bordeaux-Pointe de Grave",,2,,,
OCE1425992,OCESN,"","Besançon - Dijon",,2,,,
OCE1113948,OCESN,"","Belfort - Delle",,2,,,
OCE1277993,OCESN,"","Cambrai-Douai (SA 2020)",,2,,,
OCESN-87194001-87192039,OCESN,"","Longwy - Metz-Ville",,3,,,
OCE200734,OCESN,"","Strasbourg - Mulhouse - Bâle",,2,,,
OCE1453993,OCESN,"","Lille-Calais-Boulogne-Rang TERGV (SA2020)",,2,,,
OCE1453994,OCESN,"","Amiens-Arras-Lille-Dunkerque TERGV (SA2020)",,2,,,
OCE597,OCESN,"","Woerth - Lauterbourg - Strasbourg",,2,,,
OCE156704,OCESN,"","Cars Clermont-Fd - Montbrison - St-Etienne",,3,,,
OCE817855,OCESN,"","Tours - Chateauroux CAR",,3,,,
OCE669665,OCESN,"","Le Mans-Laval",,2,,,
OCE873850,OCESN,"","Laroche - Dijon",,2,,,
OCE1105903,OCESN,"","[AM23] PARIS - CREIL",,2,,,
OCE67,OCESN,"","Lyon - (LTP) - Chambéry - Modane",,2,,,
OCE669681,OCESN,"","Le Mans - Nogent",,2,,,
OCE1109947,OCESN,"","[IC372] PARIS - MAUBEUGE - CAMBRAI",,2,,,
OCE725926,OCESN,"","Autun - Dijon",,2,,,
OCE2,OCESN,"","Rennes - Quimper",,2,,,
OCE1650141,OCESN,"","Limoges-Périgueux-Bordeaux",,2,,,
OCE1113941,OCESN,"","Besançon - Morteau - La Chaux de Fonds",,2,,,
OCESN-87491803-87491001,OCESN,"","Royan - Saintes",,3,,,
OCE1782119,OCESN,"","Sarre Union - Diemeringen - Sarralbe",,3,,,
OCE464859,OCESN,"","Cars Réguliers Mommenheim-Bouxwiller",,3,,,
OCE384854,OCESN,"","Montluçon / Commentry / Gannat / Clermont Fd (ligne 8)",,2,,,
OCE1790120,OCESN,"","Guéret-Montluçon",,3,,,
OCE725924,OCESN,"","Etang - Autun",,3,,,
OCE577,OCESN,"","Strasbourg - Offenburg",,2,,,
OCE701667,OCESN,"","BUS TER TROYES - CHAUMONT",,3,,,
OCE1429992,OCESN,"","Cambrai-Valenciennes (SA2020)",,2,,,
OCE28,OCESN,"","Angers - Cholet",,2,,,
OCE528888,OCESN,"","Cars Réguliers Sélestat - Ribeauvillé - (Riquewihr)",,3,,,
OCE817853,OCESN,"","Tours - Loches CAR",,3,,,
OCESN-87673004-87673657,OCESN,"","Bayonne - Cambo-les-Bains",,3,,,
OCE202,OCESN,"","Roanne - St-Etienne",,2,,,
OCE581,OCESN,"","(Evx) / Lisieux / Caen  / Cherbourg",,2,,,
OCE1105892,OCESN,"","[AM02] AMIENS - SERQUEUX",,2,,,
OCE1450014,OCESN,"","LA ROCHE SUR YON - BRESSUIRE - SAUMUR - TOURS",,2,,,
OCE25,OCESN,"","Nantes - Cholet",,2,,,
OCE160695,OCESN,"","Lyon - St-André-le-Gaz - Grenoble Gières",,2,,,
OCE1209988,OCESN,"","Paris-Orléans-Tours",,2,,,
OCE681596,OCESN,"","Chateau du Loir - Le Mans - Alençon",,2,,,
OCE1,OCESN,"","Rennes - Brest",,2,,,
OCE629112,OCESN,"","Bordeaux - Le Verdon",,3,,,
OCE540928,OCESN,"","Cars Montluçon / Gannat / Clermont Fd",,3,,,
OCE725907,OCESN,"","Paray-le-Monial - Moulins-sur-Allier",,3,,,
OCESN-87387001-87444315,OCESN,"","Evreux - Normandie - Serquigny",,3,,,
OCE1526128,OCESN,"","Paris Caen",,2,,,
OCE600930,OCESN,"","Cars Réguliers Strasbourg -Haguenau",,3,,,
OCE645731,OCESN,"","" 	Toulouse / Figeac "",,2,,,
OCE1105899,OCESN,"","[AM20C] CREIL - BEAUVAIS / CAR",,3,,,
OCE361,OCESN,"","Verdun-Onville-Metz",,2,,,
OCEZW-87576025-87576215,OCESN,"","Romorantin-Blanc-Argent - Valençay",,2,,,
OCE213,OCESN,"","Lyon - Grenoble",,2,,,
OCE104648,OCESN,"","LIMOGES - ST YRIEIX - BRIVE",,3,,,
